Method,AUC,ACC,Precision,Recall,F1,MCC,Threshold,n_pos,n_neg
ZHMolPhase,0.7420916543248395,0.6299642386598908,0.5025866123216806,0.8085750315258512,0.6198762567672081,0.32801962270347756,0.5,3965,6661
PICNIC_GO,0.7215622839615464,0.6719494409333981,0.5592362548884288,0.6250964258164052,0.5903351141330743,0.31956183260892423,0.5,3889,6396
PICNIC,0.7209825577465941,0.6427630340673819,0.5150865916800571,0.7276166456494325,0.6031779218063977,0.3098589797017711,0.5,3965,6661
catGRANULE 2.0,0.7064444500397847,0.5989083380387729,0.47738004569687736,0.7904161412358134,0.5952516619183286,0.27403644954583506,0.5,3965,6661
PSPHunter,0.6384958614570179,0.6179183135704874,0.48914781814027875,0.5399747793190416,0.5133061615919444,0.20074452499346276,0.5,3965,6661
catGRANULE 1.0,0.5930801395562015,0.5817805383022774,0.44477749596495275,0.48650693568726355,0.46470729944591666,0.1230026921259982,0.5,3965,6661
Deephase,0.5384065800192459,0.5142104272539055,0.3991235462666442,0.5972257250945776,0.4784805011113356,0.060404074092293265,0.5,3965,6661
PScore,0.5256711326086866,0.622587632926349,0.4761061946902655,0.07067787703625854,0.12308396247998171,0.05081916893308488,4.0,3806,6350
LLPS_regulators_pred,0.5207611337228069,0.5237154150197628,0.38816326530612244,0.4796973518284994,0.4291032148900169,0.02873267997068119,0.5,3965,6661
LLPhyScore,0.5145257075071188,NA,NA,NA,NA,NA,NA,3965,6661
PLAAC,0.514009164173978,NA,NA,NA,NA,NA,NA,3961,6649
